provinsi,kabupaten_kota,derajat_desentralisasi_2023,rasio_kemandirian_2023,tingkat_penyerapan_pendapatan,tingkat_penyerapan_belanja,rasio_pajak,rasio_efektivitas_pad,rasio_efektivitas_pajak,rasio_belanja_thd_pendapatan,log_derajat_desentralisasi_2023,log_rasio_kemandirian_2023,log_tingkat_penyerapan_pendapatan,log_tingkat_penyerapan_belanja,log_rasio_pajak,log_rasio_efektivitas_pad,log_rasio_efektivitas_pajak,log_rasio_belanja_thd_pendapatan
Bali,Kab. Tabanan,25.39,34.03,103.17,99.08,11.99,102.04,143.24,100.38,3.2729851505152325,3.5562048372093953,4.646024179996357,4.605969866158656,2.5641798306825083,4.635117262356044,4.971478578895062,4.6188758330442035
Bali,Kota Denpasar,48.14,94.25,116.88,98.47,38.87,133.23,135.66,93.36,3.894673367093033,4.55650501400681,4.769667157869494,4.599856091164322,3.6856241613932634,4.899554746499545,4.917496089352632,4.547117254539474
Banten,Kab. Lebak,16.18,19.46,102.87,104.32,6.32,104.9,107.78,105.44,2.8437459165561094,3.0184717605234805,4.64314011723972,4.657003334628109,1.9906103279732201,4.662495252607361,4.689327493994814,4.667581446109488
Banten,Kab. Pandeglang,9.49,10.48,99.87,99.11,2.84,84.92,85.13,100.41,2.3504224224082058,2.4406063908914204,4.613832559066744,4.606269581431392,1.3454723665996355,4.453416630760555,4.455857782801083,4.619171705623905
Banten,Kab. Serang,27.05,37.24,101.38,97.86,16.61,97.44,99.07,101.0,3.3339886319687055,3.643882088183201,4.628691381029437,4.593704707878813,2.8684669225081145,4.589447225522855,4.605869941102364,4.624972813284271
Banten,Kab. Tangerang,55.16,123.01,117.95,110.88,43.73,129.87,130.19,98.87,4.028204759717555,4.820362207514681,4.778703236748966,4.717426868333759,3.8006444174447567,4.87420446406739,4.876646654092939,4.603869340255043
Banten,Kota Cilegon,39.13,65.25,93.44,86.32,30.55,80.17,76.62,111.61,3.6921241842788253,4.193435464866331,4.547964712217312,4.4695795316817435,3.4515735889872223,4.3965457207730845,4.35182512594076,4.723930521708934
Banten,Kota Serang,18.28,22.37,111.1,101.37,12.78,82.13,83.2,99.98,2.9590682891823996,3.1514531485507664,4.719391330078114,4.628593700931679,2.6232182655855123,4.420405647542997,4.4331949212482815,4.6149224774307696
Banten,Kota Tangerang,48.41,93.89,102.86,92.24,41.51,98.99,98.45,100.3,3.9001528328576587,4.552718325985667,4.6430438384161725,4.535176814167556,3.749739342370699,4.605070180987758,4.599655005299981,4.618086411254637
Banten,Kota Tangerang Selatan,52.38,109.99,110.14,102.64,46.59,110.84,114.1,107.13,3.9774361439763783,4.709440107163888,4.710790667851775,4.640923355693909,3.862622655133019,4.7170692784855,4.745801315727837,4.683334206957445
