provinsi;kabupaten_kota;derajat_desentralisasi_2023;rasio_kemandirian_2023;tingkat_penyerapan_pendapatan;tingkat_penyerapan_belanja;rasio_pajak;rasio_efektivitas_pad;rasio_efektivitas_pajak;rasio_belanja_thd_pendapatan
Jawa Barat;Kota Bogor;45.11;82.18;102.64;97.37;30.25;99.08;95.84;102.07
Jawa Barat;Kota Cimahi;30.43;43.73;105.12;100.61;15.02;112.71;116.27;107.4
Jawa Barat;Kota Cirebon;36.55;57.75;101.71;102.63;14.95;98.98;105.59;99.15
Jawa Barat;Kota Depok;46.2;85.9;112.51;102.23;38.42;109.89;112.33;104.04
Jawa Barat;Kota Sukabumi;32.36;48.77;110.87;110.39;5.55;116.71;119.21;101.63
Jawa Barat;Kota Tasikmalaya;21.44;27.3;108.4;104.31;9.72;113.1;105.41;101.02
Jawa Tengah;Kab. Banjarnegara;15.57;18.64;101.76;96.94;3.81;106.91;107.79;101.0
Jawa Tengah;Kab. Banyumas;24.44;32.48;98.39;96.95;8.49;96.13;80.92;100.07
Jawa Tengah;Kab. Batang;18.13;22.16;101.93;98.74;8.1;109.24;114.51;99.62
Jawa Tengah;Kab. Blora;14.83;17.41;106.31;103.3;2.95;117.75;117.44;97.18
Jawa Tengah;Kab. Boyolali;20.23;25.45;105.8;103.89;7.47;116.71;110.43;99.57
Jawa Tengah;Kab. Brebes;15.61;18.6;101.66;94.56;5.85;100.86;102.61;97.2
Jawa Tengah;Kab. Cilacap;22.11;28.63;100.62;97.77;8.52;101.44;101.76;100.71
Jawa Tengah;Kab. Demak;21.02;26.79;100.98;97.19;8.04;110.03;113.79;100.27
Jawa Tengah;Kab. Grobogan;16.21;19.41;104.17;101.96;6.19;117.68;127.32;99.79
Jawa Tengah;Kab. Jepara;19.04;23.57;98.03;96.6;7.71;89.08;77.14;103.77
Jawa Tengah;Kab. Karanganyar;19.59;24.45;104.78;102.5;10.46;115.41;125.25;101.94
Jawa Tengah;Kab. Kebumen;15.98;19.03;103.4;102.65;4.73;107.19;110.51;102.62
Jawa Tengah;Kab. Kendal;22.17;28.61;98.75;96.2;12.16;90.47;90.58;100.9
Jawa Tengah;Kab. Klaten;12.69;14.62;105.45;100.95;6.2;111.86;131.07;106.39
Jawa Tengah;Kab. Kudus;22.07;28.34;110.61;106.24;8.07;116.92;106.54;104.77
Jawa Tengah;Kab. Magelang;18.09;22.28;103.79;98.77;7.37;107.55;115.72;104.44
Jawa Tengah;Kab. Pati;15.99;19.04;104.73;99.92;5.68;125.21;131.06;97.81
Jawa Tengah;Kab. Pekalongan;15.55;18.92;99.73;98.8;5.0;83.96;98.66;99.11
Jawa Tengah;Kab. Pemalang;12.16;14.16;100.0;96.44;4.52;99.08;118.83;98.72
Jawa Tengah;Kab. Purbalingga;16.5;19.88;102.86;99.51;3.86;113.33;103.29;100.1
Jawa Tengah;Kab. Purworejo;16.84;20.26;99.05;95.77;4.53;92.62;109.8;101.18
Jawa Tengah;Kab. Rembang;18.05;22.05;97.92;94.67;6.04;90.66;73.74;101.78
Jawa Tengah;Kab. Semarang;22.15;28.45;98.02;94.9;10.6;88.63;86.82;101.26
Jawa Tengah;Kab. Sragen;17.63;21.45;106.54;101.1;6.22;111.2;136.53;108.74
Jawa Tengah;Kab. Sukoharjo;24.86;33.11;111.48;98.77;14.91;146.09;170.21;103.45
Jawa Tengah;Kab. Tegal;19.67;24.6;100.45;96.43;6.87;96.91;86.66;101.18
Jawa Tengah;Kab. Temanggung;17.48;21.18;106.48;100.86;3.98;115.33;114.63;101.92
Jawa Tengah;Kab. Wonogiri;11.48;12.98;102.45;97.43;3.05;112.32;129.93;98.71
Jawa Tengah;Kab. Wonosobo;12.98;15.34;102.17;101.33;3.18;109.72;118.5;102.37
